Num,VOLTAGE,KVA,YOM,Age,CO,CO2,H2,CH4,C2H4,C2H6,C2H2,H2O,ACIDITY,BREAKDOWN,FURFURAL,DDF,Label,
248,66000,10000,,,813.6,8549,91.7,425,1108.9,495.8,2.8,46,0.223,15,1.314,0.039,4,
271,22000,,,,530.5,6754.7,2334.1,500.4,911.7,30.8,200,14,0.01,37,0,0.042,4,
288,33000,500,,,881.2,35812.9,192.6,71.7,96.7,38.6,321.9,30,0.236,45,5.201,0.076,4,
292,66000,2000,1989,18,727,9530.6,258.8,91,158.8,22.6,217.4,30,0.276,33,0.585,0.037,4,
293,11000,10000,1971,35,421.8,2895.8,1382.8,106.3,166.2,21.7,300,16,0.05,39,0.7,0.046,4,
294,33000,500,,,767.2,20205.3,196.5,53.4,164.1,26.8,347.3,42,0.082,30,0.73,0.043,4,
233,22000,10000,1978,29,141.6,1774.8,76.1,66.4,337.9,91.5,200,10,0.022,70,0.035,0.024,4,
252,66000,7500,1977,30,181.4,1916.5,173.8,74.2,130,6.1,240,9,0.01,75,0.121,0.024,4,
285,22000,,1998,7,280.2,4443.4,189.8,149.6,373.7,17.9,220,6,0.01,66,0.005,0.041,4,
68,33000,10000,1979,27,203.4,1065.6,96.2,28.4,61.1,4,150,8,0.02,66,0.228,0.052,4,
189,33000,,1971,36,121.8,1387.1,67.9,23.5,121,3.4,300,10,0.029,75,0.113,0.034,4,
200,33000,12500,1959,47,246.8,1977.6,49.7,16.4,78.2,5.5,347.5,8,0.153,75,0.129,0.07,4,
201,33000,2500,1966,42,197.9,1719.6,42.4,9,34.6,0.7,174.4,26,0.181,70,0.457,0.102,4,
76,33000,10000,1982,25,159.8,1271.5,61.7,4.9,16.5,1.5,156,8,0.0399,66,0.051,0.021,4,
47,33000,,1959,47,75.4,1345.9,22.6,13.1,54.4,3,150,10,0.01,75,0.048,0.028,4,
295,22000,,1984,20,70.4,1373.8,32305.7,6132.6,5.5,1560.1,0.1,4,0.01,75,0,0.04,4,
289,11000,750,1989,16,580.7,13158.9,25650.3,2097.8,3.6,534.3,0,9,0.01,71,2,0.019,4,
287,66000,35000,1986,22,361,3684,2000,4612,6302,1668,300,27,0.12,40,2,0.06,4,
176,110000,60000,1966,44,875.1,10362.4,44,16.6,14.4,22,2.6,21,0.397,77,1.304,0.116,4,
177,110000,60000,1966,45,726.3,9003.6,31.6,17.2,12,18.2,2.5,20,0.398,79,1.29,0.105,4,
163,275000,200000,1986,24,574.2,3220.6,83.2,144.9,126.7,38.7,0,9,0,75,0,0.002,4,
164,275000,200000,1986,25,627.8,3043.5,40.1,151.7,136.9,41.5,0,3,0.003,64,0.006,0.002,4,
160,110000,60000,1969,28,593,3542,83,22,80,6,166,18,0.102,68,1.31,0.057,4,
161,110000,60000,1969,30,460,3190,64,23,60,6,129,16,0.088,39,1.52,0.056,4,
156,275000,90000,1983,28,271.8,1812.8,12001.3,897.3,1298.2,110.5,5725.9,10,0.37,53,0.005,0.005,4,
156,275000,90000,1983,28,271.8,1812.8,12001.3,897.3,1298.2,110.5,5725.9,10,0.37,53,0.005,0.005,4,
